# date  vNa_0   v_Na1   vCs     vCo_0   vCo_1   eNa_0   eNa_1   eCs     eCo_0   eCo_1
220504  0       0       0       0       0       0       0       0       0       0
220505  2800    6724    3636    0       0       21      75      28      0       0
# 220510 sono i risultati del fit con una gaussiana sui dati di calibrazione
# 220610 sono i dati ricavati dalla calibrazione del 220510 con il metodo del bootstrap
220510  2768    6672    3576    6171    6950    2       8       1       5       4
220610  2782    6671    3582    6161    6960    25      50      28      38      33
220511  2780    6696    3594    6198    6978    24      54      23      42      34
220512  2727    6551    3517    6063    6841    22      38      24      41      28
220517  2722    6537    3534    6049    6854    28      41      24      39      25
220519  2655    6386    3446    5916    6672    25      39      30      40      38
220524  2718    6541    3492    6017    6799    26      82      25      40      40
220526  2589    6178    3335    5727    6474    20      50      24      56      27
